Time_s,Phi_query_deg,Theta_query_deg
58.3,180,96.1656540523873
58.4,180,96.1538044198972
58.5,180,96.1420000728568
58.6,180,96.130240753158
58.7,180,96.1185262046431
58.8,180,96.1068561730862
58.9,180,96.095230406175
59,180,96.0836486534934
59.1,180,96.072110666503
59.2,180,96.0606161985264
59.3,180,96.0491650047292
59.4,180,96.0377568421036
59.5,180,96.0263914694506
59.6,180,96.0150686473642
59.7,180,96.003788138214
59.8,180,95.9925497061294
59.9,180,95.9813531169831
60,180,95.9701981383753
