Time_s,Lat_deg,Lon_deg,Alt_m,Yaw_deg,Pitch_deg,Roll_deg
38.8,39.9863267613691,116.3,1670.10111744307,0,0,0
38.9,39.9865962559544,116.3,1670.10111744307,0,0,0
39,39.9868657505396,116.3,1670.10111744307,0,0,0
39.1,39.9871352451248,116.3,1670.10111744307,0,0,0
39.2,39.9874047397101,116.3,1670.10111744307,0,0,0
39.3,39.9876742342953,116.3,1670.10111744307,0,0,0
39.4,39.9879437288805,116.3,1670.10111744307,0,0,0
39.5,39.9882132234658,116.3,1670.10111744307,0,0,0
39.6,39.988482718051,116.3,1670.10111744307,0,0,0
39.7,39.9887522126362,116.3,1670.10111744307,0,0,0
39.8,39.9890217072215,116.3,1670.10111744307,0,0,0
39.9,39.9892912018067,116.3,1670.10111744307,0,0,0
40,39.9895606963919,116.3,1670.10111744307,0,0,0
40.1,39.9898301909772,116.3,1670.10111744307,0,0,0
40.2,39.9900996855624,116.3,1670.10111744307,0,0,0
40.3,39.9903691801477,116.3,1670.10111744307,0,0,0
40.4,39.9906386747329,116.3,1670.10111744307,0,0,0
40.5,39.9909081693181,116.3,1670.10111744307,0,0,0
40.6,39.9911776639034,116.3,1670.10111744307,0,0,0
40.7,39.9914471584886,116.3,1670.10111744307,0,0,0
40.8,39.9917166530738,116.3,1670.10111744307,0,0,0
40.9,39.9919861476591,116.3,1670.10111744307,0,0,0
41,39.9922556422443,116.3,1670.10111744307,0,0,0
41.1,39.9925251368295,116.3,1670.10111744307,0,0,0
41.2,39.9927946314148,116.3,1670.10111744307,0,0,0
41.3,39.993064126,116.3,1670.10111744307,0,0,0
41.4,39.9933336205853,116.3,1670.10111744307,0,0,0
41.5,39.9936031151705,116.3,1670.10111744307,0,0,0
41.6,39.9938726097557,116.3,1670.10111744307,0,0,0
41.7,39.994142104341,116.3,1670.10111744307,0,0,0
41.8,39.9944115989262,116.3,1670.10111744307,0,0,0
41.9,39.9946810935114,116.3,1670.10111744307,0,0,0
42,39.9949505880967,116.3,1670.10111744307,0,0,0
42.1,39.9952200826819,116.3,1670.10111744307,0,0,0
42.2,39.9954895772671,116.3,1670.10111744307,0,0,0
42.3,39.9957590718524,116.3,1670.10111744307,0,0,0
42.4,39.9960285664376,116.3,1670.10111744307,0,0,0
42.5,39.9962980610228,116.3,1670.10111744307,0,0,0
42.6,39.9965675556081,116.3,1670.10111744307,0,0,0
42.7,39.9968370501933,116.3,1670.10111744307,0,0,0
42.8,39.9971065447786,116.3,1670.10111744307,0,0,0
42.9,39.9973760393638,116.3,1670.10111744307,0,0,0
43,39.997645533949,116.3,1670.10111744307,0,0,0
43.1,39.9979150285343,116.3,1670.10111744307,0,0,0
43.2,39.9981845231195,116.3,1670.10111744307,0,0,0
43.3,39.9984540177047,116.3,1670.10111744307,0,0,0
43.4,39.99872351229,116.3,1670.10111744307,0,0,0
43.5,39.9989930068752,116.3,1670.10111744307,0,0,0
43.6,39.9992625014604,116.3,1670.10111744307,0,0,0
43.7,39.9995319960457,116.3,1670.10111744307,0,0,0
43.8,39.9998014906309,116.3,1670.10111744307,0,0,0
43.9,40.0000709852161,116.3,1670.10111744307,0,0,0
44,40.0003404798014,116.3,1670.10111744307,0,0,0
44.1,40.0006099743866,116.3,1670.10111744307,0,0,0
44.2,40.0008794689719,116.3,1670.10111744307,0,0,0
44.3,40.0011489635571,116.3,1670.10111744307,0,0,0
44.4,40.0014184581423,116.3,1670.10111744307,0,0,0
44.5,40.0016879527276,116.3,1670.10111744307,0,0,0
44.6,40.0019574473128,116.3,1670.10111744307,0,0,0
44.7,40.002226941898,116.3,1670.10111744307,0,0,0
44.8,40.0024964364833,116.3,1670.10111744307,0,0,0
44.9,40.0027659310685,116.3,1670.10111744307,0,0,0
45,40.0030354256537,116.3,1670.10111744307,0,0,0
45.1,40.003304920239,116.3,1670.10111744307,0,0,0
45.2,40.0035744148242,116.3,1670.10111744307,0,0,0
45.3,40.0038439094095,116.3,1670.10111744307,0,0,0
45.4,40.0041134039947,116.3,1670.10111744307,0,0,0
45.5,40.0043828985799,116.3,1670.10111744307,0,0,0
45.6,40.0046523931652,116.3,1670.10111744307,0,0,0
45.7,40.0049218877504,116.3,1670.10111744307,0,0,0
