Freq [GHz],Phi [deg],Theta [deg],dB(RealizedGainTotal)
1,-50,160,0.897532499742493
1,-50,165,0.362627727194257
1,-50,170,-0.276309173074223
1,-50,175,-1.02523140570693
1,-50,180,-1.89350713104327
1,-45,-180,-2.89576329368938
1,-45,-175,-4.05491263954883
1,-45,-170,-5.40744451295218
1,-45,-165,-7.01345831475709
1,-45,-160,-8.9778596428444
1,-45,-155,-11.5023917653393
1,-45,-150,-15.0462876673886
1,-45,-145,-21.0832563027479
1,-45,-140,-49.6915268863378
1,-45,-135,-49.7160442636998
1,-45,-130,-21.0480711168854
1,-45,-125,-15.0283293830793
1,-45,-120,-11.4900702546718
1,-45,-115,-8.96829174854789
1,-45,-110,-7.00551500421616
1,-45,-105,-5.40058638091618
1,-45,-100,-4.0488557563361
1,-45,-95,-2.89035284375782
1,-45,-90,-1.8886603216026
1,-45,-85,-1.02090809406788
1,-45,-80,-0.272495129820137
1,-45,-75,0.365931176446342
1,-45,-70,0.900315317983038
1,-45,-65,1.33436891422533
1,-45,-60,1.67034595780513
1,-45,-55,1.90956254891091
1,-45,-50,2.05274331152214
1,-45,-45,2.1002423497461
1,-45,-40,2.05216626302501
1,-45,-35,1.90841350521277
1,-45,-30,1.66863450813228
1,-45,-25,1.33210811922806
1,-45,-20,0.897520030156289
1,-45,-15,0.362615619347494
1,-45,-10,-0.276320747952093
1,-45,-5,-1.02524233368858
1,-45,0,-1.89351737002377
1,-45,5,-2.89577289234215
1,-45,10,-4.05492176540135
1,-45,15,-5.40745349992927
1,-45,20,-7.01346775520607
1,-45,25,-8.977870592999
1,-45,30,-11.5024062942483
1,-45,35,-15.046310784848
1,-45,40,-21.0833075495795
1,-45,45,-49.6915268863378
1,-45,50,-49.7160442636998
1,-45,55,-21.0481538901396
1,-45,60,-15.028374611912
1,-45,65,-11.4901025933621
1,-45,70,-8.96831717865478
1,-45,75,-7.00553576104626
1,-45,80,-5.40060346500474
1,-45,85,-4.04886965818304
1,-45,90,-2.8903638199564
1,-45,95,-1.88866852039232
1,-45,100,-1.02091361973568
1,-45,105,-0.272498078423003
1,-45,110,0.365930696539028
1,-45,115,0.900317174498349
1,-45,120,1.33437294520586
1,-45,125,1.67035196991408
1,-45,130,1.90957031878566
1,-45,135,2.05275258948823
1,-45,140,2.10025286538814
1,-45,145,2.0521777322151
1,-45,150,1.90842563826438
1,-45,155,1.66864701880194
1,-45,160,1.33212073434563
1,-45,165,0.897532499742493
1,-45,170,0.362627727194257
1,-45,175,-0.276309173074223
1,-45,180,-1.02523140570693
1,-40,-180,-1.89350713104327
1,-40,-175,-2.89576329368938
1,-40,-170,-4.05491263954883
1,-40,-165,-5.40744451295218
1,-40,-160,-7.01345831475709
1,-40,-155,-8.9778596428444
1,-40,-150,-11.5023917653393
1,-40,-145,-15.0462876673886
1,-40,-140,-21.0832563027479
1,-40,-135,-49.6915268863378
1,-40,-130,-49.7160442636998
1,-40,-125,-21.0484014286526
1,-40,-120,-15.0285098050739
1,-40,-115,-11.4901992278796
1,-40,-110,-8.96839316001322
1,-40,-105,-7.00559778323125
1,-40,-100,-5.40065452614831
1,-40,-95,-4.04891122923933
1,-40,-90,-2.89039667092563
1,-40,-85,-1.88869309597073
1,-40,-80,-1.02093023200358
1,-40,-75,-0.27250701374284
1,-40,-70,0.36592911601733
1,-40,-65,0.900322556086014
1,-40,-60,1.33438480828136
1,-40,-55,1.67036974072856
1,-40,-50,1.9095933343678
1,-40,-45,2.0527801085934
1,-40,-40,2.10028408498979
1,-40,-35,2.05221180834938
1,-40,-30,1.90846171023948
1,-40,-25,1.66868423594723
1,-40,-20,1.3321582846503
1,-40,-15,0.89756963996636
1,-40,-10,0.362663814382222
1,-40,-5,-0.276274648177404
1,-40,0,-1.02519878187552
1,-40,5,-1.89347653318504
1,-40,10,-2.89573457615566
1,-40,15,-4.05488530212084
1,-40,20,-5.40741755854203
1,-40,25,-7.01342997396955
1,-40,30,-8.9778267590631
1,-40,35,-11.5023481520302
1,-40,40,-15.0462183390065
1,-40,45,-21.0831027938117
1,-40,50,-49.6915268863378
1,-40,55,-49.7160442636998
1,-40,60,-21.0488113991291
1,-40,65,-15.0287334907924
1,-40,70,-11.4903590205485
1,-40,75,-8.96851877156855
1,-40,80,-7.00570033046818
1,-40,85,-5.40073899427409
1,-40,90,-4.04898006793257
1,-40,95,-2.89045116418514
1,-40,100,-1.88873398485036
