Time_s,Phi_query_deg,Theta_query_deg
44.8,42.5796428295598,152.061030461062
44.9,42.1351238444809,151.862159994605
45,41.6961429622642,151.661824498713
45.1,41.2626210931416,151.460050702302
45.2,40.8344792245907,151.256864721518
45.3,40.4116385036049,151.05229206706
45.4,39.9940203130918,150.846357651852
45.5,39.5815463426648,150.639085798995
45.6,39.1741386540872,150.430500249975
45.7,38.7717197416248,150.220624173088
45.8,38.3742125875578,150.009480172043
45.9,37.9815407130952,149.797090294709
46,37.5936282249309,149.583476041986
46.1,37.2103998576733,149.368658376761
46.2,36.8317810123703,149.152657732928
46.3,36.4576977913484,148.935494024446
46.4,36.0880770295737,148.71718665442
46.5,35.7228463227365,148.497754524176
46.6,35.3619340522523,148.27721604231
46.7,35.0052694073655,148.055589133714
46.8,34.6527824045328,147.832891248531
46.9,34.3044039042557,147.609139371055
47,33.9600656255267,147.384350028547
47.1,33.6197001580407,147.158539299963
47.2,33.2832409723218,146.931722824571
47.3,32.9506224279042,146.703915810468
47.4,32.6217797797009,146.475133042976
47.5,32.2966491826863,146.245388892902
47.6,31.9751676950135,146.014697324677
47.7,31.6572732796782,145.783071904349
47.8,31.342904804838,145.550525807437
47.9,31.0320020428877,145.317071826632
48,30.7245056683866,145.08272237935
48.1,30.4203572549284,144.847489515128
48.2,30.1194992710377,144.611384922867
48.3,29.8218750751748,144.37441993791
48.4,29.5274289099228,144.136605548963
48.5,29.236105895428,143.897952404853
48.6,28.9478520221608,143.658470821118
48.7,28.662614143058,143.418170786446
48.8,28.3803399651063,143.177061968933
48.9,28.1009780404211,142.935153722192
49,27.8244777568701,142.69245509129
49.1,27.5507893282932,142.448974818526
49.2,27.2798637843585,142.204721349041
49.3,27.0116529601002,141.959702836276
49.4,26.746109485174,141.713927147258
49.5,26.4831867728681,141.467401867738
49.6,26.2228390089012,141.22013430716
49.7,25.9650211400412,140.972131503481
49.8,25.7096888625707,140.723400227834
49.9,25.4567986106276,140.473946989031
50,25.2063075444455,140.223778037925
50.1,24.9581735385148,139.972899371609
50.2,24.7123551696891,139.721316737474
50.3,24.4688117052515,139.469035637115
50.4,24.2275030909632,139.216061330097
50.5,23.9883899391076,138.962398837566
50.6,23.7514335165456,138.70805294573
50.7,23.5165957327963,138.453028209186
50.8,23.2838391281553,138.197328954121
50.9,23.053126861861,137.940959281362
51,22.8244227003202,137.683923069301
51.1,22.5976910054019,137.426223976677
51.2,22.3728967228067,137.167865445225
51.3,22.1500053705208,136.908850702203
51.4,21.9289830273597,136.649182762772
51.5,21.7097963216083,136.388864432261
51.6,21.4924124197623,136.127898308296
51.7,21.2767990153746,135.866286782805
51.8,21.0629243180125,135.604032043897
51.9,20.8507570423263,135.341136077611
52,20.6402663972342,135.077600669553
52.1,20.431422075225,134.813427406395
52.2,20.2241942417794,134.548617677264
52.3,20.0185535249131,134.283172675005
52.4,19.8144710048406,134.017093397321
52.5,19.6119182037622,133.750380647794
52.6,19.4108670757725,133.483035036791
52.7,19.2112899968914,133.215056982243
52.8,19.0131597552175,132.94644671031
52.9,18.8164495412013,132.677204255925
53,18.62113293804,132.407329463223
53.1,18.4271839121895,132.136821985841
53.2,18.2345768039951,131.865681287113
53.3,18.043286318437,131.593906640135
53.4,17.8532875159901,131.321497127719
53.5,17.664555803595,131.048451642217
53.6,17.4770669257388,130.774768885235
53.7,17.2907969556431,130.500447367218
53.8,17.1057222865558,130.225485406922
53.9,16.9218196231453,129.949881130754
54,16.7390659729936,129.673632471994
54.1,16.5574386381848,129.396737169894
54.2,16.376915206987,129.119192768643
54.3,16.1974735456236,128.840996616217
54.4,16.0190917901308,128.562145863088
54.5,15.8417483382983,128.282637460812
54.6,15.6654218416887,128.002468160481
54.7,15.4900911977333,127.72163451104
54.8,15.3157355418993,127.44013285747
54.9,15.1423342399252,127.157959338834
55,14.9698668801203,126.875109886181
55.1,14.7983132657245,126.591580220305
55.2,14.6276534073238,126.307365849362
55.3,14.4578675153176,126.022462066335
55.4,14.2889359924337,125.736863946353
55.5,14.1208394262854,125.450566343848
55.6,13.9535585819681,125.163563889561
55.7,13.7870743946892,124.87585098738
55.8,13.6213679624266,124.587421811015
55.9,13.4564205386124,124.298270300508
56,13.2922135248349,124.008390158563
56.1,13.1287284635549,123.717774846699
56.2,12.9659470308316,123.426417581225
56.3,12.8038510290508,123.134311329022
56.4,12.6424223796525,122.841448803133
56.5,12.4816431158497,122.54782245816
56.6,12.3214953753345,122.25342448545
56.7,12.1619613929649,121.958246808077
56.8,12.0030234934257,121.662281075602
56.9,11.8446640838576,121.365518658618
